,,keeps numbers between 0 and 1,,
,minmax,minmax,nah,nah
,expensive vs not,4,,
store,sell price,rolling mean30,onehot department,onehot  category
1,,,,
1,,,,
11,,,,
1,,,,
1,,,,
"October 9, 2021",50,Music was perfect,As any HR you expect to be overwhelmed by the memorabilia throughout. Had a bloody Mary at the bar. Good quick service. Drink wasn't bad t start the day. The music wasn't so loud you couldn't talk. It was just right
"October 1, 2021",50,Excellent last dinner,"Late dinner at the Hard Rock Cafe was great. Nice music, not too crowded, fast and good service, huge portions, tasty food. We ordered Thai spicy shrimps, BBQ ribs, onion rings it was delicious."
"June 23, 2021",40,Great for rock and roll fans!,"My daughter and I enjoyed dinner here for her 21st birthday. We love looking at all the memorabilia in the multiple dining rooms. The food is good, but it’s the atmosphere we enjoy most!"
"June 30, 2020",40,Always reliable,We ate at the bar after a show. Nachos and salad with a couple of glasses of wine. Just the right stuff at the right time in a energetic atmosphere. Thank you Duane!
"March 17, 2020",50,It's not noisy,"It may sound noisy initially but if you find a good place at the bar, the noises fade away and you can enjoy the company of your partner. One of the best Hard Rock Cafes one finds anywhere in the world."
"March 13, 2020",40,Good burger and unique atmosphere,"I had a very good burger here. The atmosphere is unique but do not expect hard rock music, there were more rap and pop video clips than rock."
"February 24, 2020",30,!00 people for breakfast,"We pre arranged breakfast for 100 people and they opened at 7am for us. Normal opening time is 8am. Standard USA breakfast, nothing special but was good enough for us before a long day in New York."
"February 23, 2020",50,Combo Platter For Two!,"Nice Decor! Share a platter: crumbed chicken, spring rolls, rosti's, chicken wings, brochetta's, onion rings. Great music, visit the shop."
"February 12, 2020",50,Last drinks before home,This is a great hard rock I've never been to a bad 1 in any country but this is 1 of my favourites so far great surroundings and the staff are brilliant
