longitude,latitude,population,median_income,median_house_value
-122.23,37.88,322,8.3252,452600
-122.22,37.86,2401,8.3014,358500
-122.24,37.85,496,7.2574,352100
-122.25,37.85,558,5.6431,341300
-122.25,37.85,565,3.8462,342200
-122.25,37.85,413,4.0368,269700
-122.25,37.84,1094,3.6591,299200
-122.25,37.84,1157,3.12,241400
-122.26,37.84,1206,2.0804,226700
-122.25,37.84,1551,3.6912,261100
-122.26,37.85,910,3.2031,281500
-122.26,37.85,1504,3.2705,241800
-122.26,37.85,1098,3.075,213500
-122.26,37.84,345,2.6736,191300
-122.26,37.85,1212,1.9167,159200
-122.26,37.85,697,2.125,140000
-122.27,37.85,793,2.775,152500
-122.27,37.85,648,2.1202,155500
-122.26,37.84,990,1.9911,158700
-122.27,37.84,690,2.6033,162900
-122.27,37.85,409,1.3578,147500
-122.27,37.85,929,1.7135,159800
-122.27,37.84,1015,1.725,113900
-122.27,37.84,853,2.1806,99700
-122.27,37.84,1006,2.6,132600
-122.28,37.85,317,2.4038,107500
-122.28,37.85,607,2.4597,93800
-122.28,37.85,1102,1.808,105500
-122.28,37.84,1131,1.6424,108900
-122.28,37.84,395,1.6875,132000
-122.28,37.84,863,1.9274,122300
-122.28,37.84,1168,1.9615,115200
-122.27,37.84,1026,1.7969,110400
-122.27,37.83,754,1.375,104900
-122.27,37.83,1258,2.7303,109700
-122.27,37.83,570,1.4861,97200
-122.27,37.83,987,1.0972,104500
-122.28,37.83,901,1.4103,103900
-122.26,37.83,689,3.48,191400
-122.26,37.83,1377,2.5898,176000
-122.26,37.83,946,2.0978,155400
-122.26,37.83,517,1.2852,150000
-122.26,37.84,462,1.025,118800
-122.26,37.84,467,3.9643,188800
-122.26,37.83,660,3.0125,184400
-122.26,37.83,718,2.6768,182300
-122.26,37.83,616,2.026,142500
-122.27,37.82,558,1.7348,137500
-122.26,37.82,423,0.9506,187500
-122.27,37.82,700,1.775,112500
-122.27,37.82,735,0.9218,171900
-122.27,37.82,1061,1.5045,93800
-122.27,37.82,1959,1.1108,97500
-122.27,37.82,1162,1.2475,104200
-122.28,37.82,701,1.6098,87500
-122.28,37.82,576,1.4113,83100
-122.28,37.82,622,1.5057,87500
-122.28,37.82,728,0.8172,85300
-122.28,37.82,1074,1.2171,80300
-122.29,37.82,94,2.5625,60000
-122.29,37.83,554,3.3929,75700
-122.29,37.82,86,6.1183,75000
-122.29,37.81,377,0.9011,86100
-122.3,37.81,521,1.191,76100
-122.3,37.81,392,2.5938,73500
-122.3,37.81,604,1.1667,78400
-122.3,37.81,788,0.8056,84400
-122.29,37.8,492,2.6094,81300
-122.3,37.81,274,1.8516,85000
-122.29,37.81,1823,0.9802,129200
-122.29,37.81,392,1.7719,82500
-122.29,37.81,582,0.7286,95200
-122.29,37.81,560,1.75,75000
-122.29,37.81,18,0.4999,67500
-122.29,37.81,290,2.483,137500
-122.28,37.81,762,0.9241,177500
-122.28,37.81,1236,2.4464,102100
-122.28,37.81,721,1.1111,108300
-122.29,37.81,1054,0.8026,112500
-122.28,37.8,344,2.0114,131300
-122.28,37.81,609,1.5,162500
-122.27,37.81,183,1.1667,112500
-122.28,37.81,200,1.5208,112500
-122.28,37.81,346,0.8075,137500
-122.28,37.81,467,1.8088,118800
-122.28,37.81,377,2.4083,98200
-122.27,37.81,582,0.977,118800
-122.27,37.81,546,0.76,162500
-122.27,37.8,125,0.9722,137500
-122.27,37.8,396,1.2434,500001
-122.27,37.8,800,2.0938,162500
-122.28,37.8,904,0.8668,137500
-122.28,37.8,191,0.75,162500
-122.27,37.79,718,2.6354,187500
-122.27,37.8,1327,1.8477,179200
-122.26,37.8,3469,2.0096,130000
-122.26,37.82,2048,2.8345,183800
-122.26,37.81,202,2.0062,125000
-122.26,37.82,2024,1.2185,170000
-122.26,37.82,1838,2.6104,193100
-122.25,37.81,2304,2.4912,257800
-122.25,37.81,2563,3.2177,273400
-122.25,37.81,389,3.125,237500
-122.25,37.81,895,2.5795,350000
-122.26,37.81,2689,2.8406,335700
-122.24,37.82,674,4.9306,313400
-122.24,37.81,709,3.2727,268500
-122.25,37.81,686,3.1691,259400
-122.24,37.82,1444,3.9,275700
-122.25,37.82,1520,3.9063,225000
-122.25,37.82,550,5.0917,262500
-122.25,37.82,1806,2.6429,218500
-122.25,37.82,1749,3.0233,255000
-122.25,37.83,939,3.1484,224100
-122.25,37.83,675,3.4722,243100
-122.25,37.83,534,3.1429,231600
-122.25,37.83,2558,2.4234,218500
-122.25,37.83,1786,3.0897,234100
-122.23,37.84,970,5.8596,327600
-122.23,37.84,1098,5.2868,347600
-122.24,37.83,794,5.956,366100
-122.24,37.85,98,4.9643,335000
-122.23,37.85,1061,6.3434,373600
-122.24,37.84,1177,5.1773,389500
-122.24,37.85,901,7.2354,391100
-122.22,37.85,2031,5.457,337300
-122.22,37.84,1031,7.5,295200
-122.21,37.84,1358,6.0194,292300
-122.21,37.83,1616,7.5544,411500
-122.2,37.84,844,6.0666,311500
-122.21,37.84,1140,7.0548,325900
-122.19,37.84,533,11.6017,392600
-122.2,37.84,1072,7.4882,319300
-122.21,37.83,1627,6.8976,333300
-122.19,37.83,463,8.2049,335200
-122.2,37.83,542,8.401,351200
-122.19,37.83,661,6.8538,368900
-122.19,37.82,635,8.317,365900
-122.2,37.82,420,7.0175,366700
-122.2,37.82,1265,6.3302,362800
-122.18,37.81,126,6.3624,483300
-122.21,37.82,813,7.0549,331400
-122.2,37.81,1067,6.7851,323500
